categoria,codigo,descricao,unidade_medida,preco_unit,fornecedor,fonte
ADMINISTRATIVO,2,AGUA SANITARIA HIPPER 5LT,GL,14.25,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,5,ALCOOL LIQ 1X1LT 70 INPM FACILITA,UN,9.0,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,8,AMAC. TUFF PLUS 5LT,GL,22.49,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,229,CAIXA ORGANIZADORA 10 L COM TAMPA TRANSPARENTE,UN,29.9,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,230,CAIXA ORGANIZADORA 30 L COM TAMPA TRANSPARENTE,UN,58.9,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,15,CERA IMPERM FLASH ACRILICO 5LT KLIMP,GL,109.49,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,19,CERA START MASTER ACRILICA INC. 5LT,GL,151.13,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,103,COLHER DESC LEVE BCA 1X50UN,PC,5.1,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,26,DESINF. DE USO GERAL LYSOFORM ORIGIN 5LT,GL,78.18,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,28,DESINF. KLIMP 5LT LAVANDA,GL,16.79,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,30,DET. LIQ. 24x500ml,CX,81.12,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,113,ESCOVA BASE PLASTICA,UN,5.3,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,34,ESPONJA DE ACO/METALICA UNIT,UN,11.86,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,36,FLANELA BRANCA 38X58CM 12X01UN,PC,30.89,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,124,FOSFORO LONGO ECO PARANA 1X200UN,CX,6.57,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,126,GARFO DESC BCO LEVE 1X50UN,PC,5.0,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,39,HIPOCLORITO DE SODIO 05LT BUTTERFLY,GL,38.72,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,42,LAVA ROUPA LIQ SURF COCO 5L,GL,55.23,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,46,LIMPA ALUMINIO 1X500ML ALUMIL,FR,5.4,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,135,LIX. C/PEDAL 100LTS,UN,253.36,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,143,LUVA AMAR MULTIUSO SLIM TAM. P VOLK,PA,5.99,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,144,LUVA LATEX TAM G C/100UN C/PO,CX,43.52,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
