categoria,nome,unidade,fonte,preco_referencia
HIGIENE_PESSOAL,Algodão bola 100g,UN,PEDIDO HIGIENE ARARA 2026,7.92
HIGIENE_PESSOAL,Termômetro branco,UN,PEDIDO HIGIENE ARARA 2026,19.40
HIGIENE_PESSOAL,Colônia infantil 750ml,UN,PEDIDO HIGIENE ARARA 2026,53.01
HIGIENE_PESSOAL,"Compressa estéril 7,5x7,5cm",PCT,PEDIDO HIGIENE ARARA 2026,2.98
HIGIENE_PESSOAL,Copo infantil com tampa e alça,UN,PEDIDO HIGIENE ARARA 2026,19.20
HIGIENE_PESSOAL,Creme para assaduras 45g,UN,PEDIDO HIGIENE ARARA 2026,21.18
HIGIENE_PESSOAL,Creme para pentear infantil 1kg,UN,PEDIDO HIGIENE ARARA 2026,44.62
HIGIENE_PESSOAL,Creme para pentear infantil 200ml,UN,PEDIDO HIGIENE ARARA 2026,13.77
HIGIENE_PESSOAL,Curativo transparente c/40,CX,PEDIDO HIGIENE ARARA 2026,20.38
HIGIENE_PESSOAL,Escova de dente infantil,UN,PEDIDO HIGIENE ARARA 2026,4.50
HIGIENE_PESSOAL,Esparadrapo impermeável 12mm x 3m,UN,PEDIDO HIGIENE ARARA 2026,6.51
HIGIENE_PESSOAL,Fralda descartável XG,PCT,PEDIDO HIGIENE ARARA 2026,60.99
HIGIENE_PESSOAL,Fralda descartável XXG,PCT,PEDIDO HIGIENE ARARA 2026,60.99
HIGIENE_PESSOAL,Lenço umedecido refil 400un,RF,PEDIDO HIGIENE ARARA 2026,18.06
HIGIENE_PESSOAL,Loção hidratante infantil 200ml,UN,PEDIDO HIGIENE ARARA 2026,12.38
HIGIENE_PESSOAL,Óleo corporal baby 100ml,UN,PEDIDO HIGIENE ARARA 2026,15.75
HIGIENE_PESSOAL,Sabonete líquido infantil 500ml,UN,PEDIDO HIGIENE ARARA 2026,29.72
HIGIENE_PESSOAL,Xuxa / liguinha colorida pacote,PCT,PEDIDO HIGIENE ARARA 2026,13.00
HIGIENE_PESSOAL,Xuxa rabicó colorida pacote,PCT,PEDIDO HIGIENE ARARA 2026,7.00
HIGIENE_PESSOAL,Shampoo infantil 480ml,UN,PEDIDO HIGIENE ARARA 2026,15.30
HIGIENE_PESSOAL,"Esparadrapo transparente 10cm x 4,5m",UN,PEDIDO HIGIENE ARARA 2026,69.90
PEDAGOGICO,Balão nº 09 vermelho pct c/50,PCT,Papelaria impacto,17.90
PEDAGOGICO,Balão nº 09 azul cobalto pct c/50,PCT,Papelaria impacto,17.90
PEDAGOGICO,Balão nº 09 verde bandeira pct c/50,PCT,Papelaria impacto,17.90
PEDAGOGICO,Balão nº 09 branco polar pct c/50,PCT,Papelaria impacto,17.90
PEDAGOGICO,Cola isopor / EVA 90g,UN,Papelaria impacto,8.40
PEDAGOGICO,Emborrachado EVA branco pct c/10,PCT,Papelaria impacto,17.50
PEDAGOGICO,Emborrachado EVA amarelo pct c/10,PCT,Papelaria impacto,17.50
PEDAGOGICO,Emborrachado EVA azul claro pct c/10,PCT,Papelaria impacto,17.50
PEDAGOGICO,Emborrachado EVA cinza pct c/10,PCT,Papelaria impacto,17.50
PEDAGOGICO,Emborrachado EVA rosa claro pct c/10,PCT,Papelaria impacto,17.50
PEDAGOGICO,Fita crepe 48mm x 50m,UN,Papelaria impacto,15.90
PEDAGOGICO,Fita crepe 18mm x 50m,UN,Papelaria impacto,5.90
PEDAGOGICO,Fita kraft 48mm x 50m,UN,Papelaria impacto,75.90
PEDAGOGICO,Fita kraft 18mm x 50m,UN,Papelaria impacto,28.99
PEDAGOGICO,Fita PVC transparente 45mm x 45m,UN,Papelaria impacto,5.99
PEDAGOGICO,Lastex 10m cores,UN,Papelaria impacto,1.20
PEDAGOGICO,Maleta cristal organizadora,UN,Papelaria impacto,19.90
PEDAGOGICO,Massa de modelar 12 cores 135g,UN,Papelaria impacto,4.50
PEDAGOGICO,Palito de picolé c/100,PCT,Papelaria impacto,5.50
PEDAGOGICO,Papel cartolina branca pct c/100,PCT,Papelaria impacto,89.90
PEDAGOGICO,Papel cartolina dupla face azul pct c/20,PCT,Papelaria impacto,26.99
PEDAGOGICO,Papel cartolina dupla face rosa pct c/20,PCT,Papelaria impacto,26.99
PEDAGOGICO,Papel cartolina dupla face roxo pct c/20,PCT,Papelaria impacto,26.99
PEDAGOGICO,Papel de seda pink pct c/100,PCT,Papelaria impacto,35.50
PEDAGOGICO,Papel de seda rosa pct c/100,PCT,Papelaria impacto,35.50
PEDAGOGICO,Papel de seda verde folha pct c/100,PCT,Papelaria impacto,35.50
PEDAGOGICO,Papel kraft 66 x 96 100 folhas,PCT,Papelaria impacto,84.99
PEDAGOGICO,Plástico adesivo 45cm x 25m,RL,Papelaria impacto,89.99
PEDAGOGICO,Quadro de aviso display A4,UN,Papelaria impacto,23.90
PEDAGOGICO,Saco de celofane 15 x 22 c/50,PCT,Papelaria impacto,8.90
PEDAGOGICO,Saco de celofane 25 x 35 c/50,PCT,Papelaria impacto,18.50
PEDAGOGICO,Saco transparente 30 x 45 c/50,PCT,Papelaria impacto,39.90
PEDAGOGICO,Tecido Oxford cores,MT,Papelaria impacto,15.90
PEDAGOGICO,TNT rolo 50m branco,RL,Papelaria impacto,84.99
PEDAGOGICO,TNT rolo 50m azul marinho,RL,Papelaria impacto,84.99
PEDAGOGICO,TNT rolo 50m rosa,RL,Papelaria impacto,84.99
